dia,vendas
2018-10-01,67
2018-10-02,65
2018-10-03,73
2018-10-04,67
2018-10-05,68
2018-10-06,35
2018-10-07,37
2018-10-08,67
2018-10-09,70
2018-10-10,73
2018-10-11,57
2018-10-12,32
2018-10-13,31
2018-10-14,34
2018-10-15,63
2018-10-16,69
2018-10-17,67
2018-10-18,69
2018-10-19,70
2018-10-20,32
2018-10-21,36
2018-10-22,69
2018-10-23,72
2018-10-24,73
2018-10-25,67
2018-10-26,68
2018-10-27,35
2018-10-28,37
2018-10-29,72
2018-10-30,66
2018-10-31,68
2018-11-01,73
2018-11-02,33
2018-11-03,31
2018-11-04,33
2018-11-05,70
2018-11-06,61
2018-11-07,75
2018-11-08,69
2018-11-09,69
2018-11-10,32
2018-11-11,38
2018-11-12,73
2018-11-13,67
2018-11-14,69
2018-11-15,74
2018-11-16,75
2018-11-17,33
2018-11-18,35
2018-11-19,72
2018-11-20,71
2018-11-21,67
2018-11-22,72
2018-11-23,70
2018-11-24,34
2018-11-25,37
2018-11-26,71
2018-11-27,77
2018-11-28,66
2018-11-29,67
2018-11-30,69
