shrimp,almonds,avocado,vegetables_mix,green_grapes,whole_weat_flour
almonds,eggs,cooking_oil,french_fries,green_tea,
almonds,cake,low_fat_yogurt,,,
avocado,eggs,chocolate,energy_drink,,
avocado,milk,butter,french_fries,cookies,
avocado,oil,cereals,french_fries,,
avocado,butter,chocolate,french_fries,cookies,strawberries
avocado,almonds,french_wine,honey,whole_wheat_rice,
avocado,energy_bar,chocolate,,,
avocado,chocolate,french_fries,,,
avocado,frozen_smoothie,low_fat_yogurt,,,
barbecue_sauce,french_fries,frozen_smoothie,,,
bug_spray,clothes_accessories,cottage_cheese,,,
burgers,herb_e_pepper,energy_bar,almonds,eggs,corn
burgers,spaghetti,mineral_water,almonds,honey,extra_dark_chocolate
burgers,grated_cheese,spaghetti,avocado,milk,oil
burgers,ground_beef,spaghetti,avocado,milk,olive_oil
burgers,shrimp,spaghetti,avocado,milk,olive_oil
burgers,shrimp,tomatoes,bacon,whole_wheat_rice,green_tea
burgers,ground_beef,honey,blueberries,gums,french_fries
burgers,mineral_water,milk,cake,chocolate,french_fries
burgers,red_wine,mineral_water,cake,green_tea,
burgers,mineral_water,whole_wheat_rice,cake,,
burgers,shrimp,mineral_water,chicken,fromage_blanc,salmon
burgers,dessert_wine,spaghetti,chicken,cake,protein_bar
burgers,ground_beef,eggs,chocolate,champagne,zucchini
burgers,ground_beef,mineral_water,chocolate,champagne,
burgers,tomatoes,mineral_water,chocolate_bread,,
burgers,chocolate,cake,cookies,green_tea,
burgers,chocolate_bread,chicken,cookies,,
burgers,bacon,eggs,cookies,green_tea,
burgers,mineral_water,eggs,cookies,,
burgers,eggs,french_fries,cookies,green_tea,
burgers,milk,cake,cooking_oil,french_fries,escalope
burgers,mineral_water,avocado,corn,escalope,
burgers,tomatoes,pepper,corn,cereals,escalope
burgers,whole_wheat_rice,ham,eggplant,,
burgers,frozen_vegetables,flax_seed,eggs,,
burgers,mineral_water,milk,eggs,whole_wheat_rice,mint
burgers,red_wine,mineral_water,eggs,oil,carrots
burgers,tomatoes,mineral_water,eggs,light_cream,oil
burgers,ground_beef,spaghetti,eggs,french_fries,
burgers,eggs,french_fries,energy_drink,,
burgers,strong_cheese,champagne,escalope,,
burgers,tomatoes,ground_beef,escalope,,
burgers,almonds,eggs,french_fries,cookies,green_tea
burgers,meatballs,eggs,french_fries,,
burgers,parmesan_cheese,eggs,french_fries,hot_dogs,
burgers,spaghetti,eggs,french_fries,,
burgers,ham,frozen_vegetables,french_fries,tomato_juice,
burgers,pancakes,green_tea,french_fries,,
burgers,spaghetti,milk,french_fries,green_tea,
burgers,dessert_wine,strong_cheese,french_fries,,
burgers,mineral_water,whole_wheat_rice,french_fries,,
burgers,oil,tomato_juice,fresh_bread,,
burgers,shrimp,pasta,frozen_vegetables,spaghetti,mineral_water
burgers,shrimp,pasta,frozen_vegetables,mineral_water,chocolate
burgers,fresh_tuna,shrimp,frozen_vegetables,whole_wheat_pasta,yams
burgers,fresh_tuna,ham,grated_cheese,frozen_vegetables,tomatoes
burgers,spaghetti,avocado,green_beans,,
burgers,french_wine,eggs,green_beans,clothes_accessories,
burgers,flax_seed,eggs,green_tea,,
burgers,mineral_water,eggs,green_tea,pancakes,
burgers,french_fries,low_fat_yogurt,green_tea,,
burgers,spaghetti,low_fat_yogurt,green_tea,,
burgers,ham,chocolate,ground_beef,spaghetti,mineral_water
burgers,chocolate,frozen_vegetables,ground_beef,mineral_water,milk
burgers,chocolate,herb_e_pepper,ground_beef,spaghetti,soup
burgers,turkey,herb_e_pepper,ground_beef,pancakes,eggs
burgers,shrimp,tomatoes,ground_beef,tomato_sauce,spaghetti
burgers,bacon,champagne,light_mayo,,
burgers,mineral_water,soup,meatballs,olive_oil,
burgers,frozen_vegetables,mineral_water,milk,fromage_blanc,cake
burgers,grated_cheese,mineral_water,milk,eggs,whole_wheat_rice
burgers,shrimp,mineral_water,milk,eggs,chocolate
burgers,whole_wheat_pasta,mineral_water,milk,pancakes,
burgers,shrimp,pasta,milk,green_tea,french_fries
burgers,pepper,soup,milk,pancakes,green_tea
burgers,spaghetti,soup,milk,olive_oil,salmon
burgers,tomatoes,spaghetti,milk,barbecue_sauce,frozen_smoothie
burgers,turkey,spaghetti,milk,whole_wheat_rice,oil
burgers,shrimp,tomatoes,milk,energy_bar,almonds
burgers,ham,grated_cheese,mineral_water,chocolate,olive_oil
burgers,grated_cheese,herb_e_pepper,mineral_water,eggs,cooking_oil
burgers,fresh_tuna,red_wine,mineral_water,french_fries,
burgers,chocolate,spaghetti,mineral_water,milk,chicken
burgers,ground_beef,spaghetti,mineral_water,avocado,french_fries
burgers,ground_beef,spaghetti,mineral_water,soup,milk
burgers,ground_beef,spaghetti,mineral_water,escalope,melons
burgers,ham,spaghetti,mineral_water,milk,eggs
burgers,shrimp,tomatoes,mineral_water,soup,pancakes
burgers,fresh_tuna,spaghetti,muffins,honey,
burgers,grated_cheese,spaghetti,nonfat_milk,eggs,gums
burgers,spaghetti,avocado,pancakes,cake,fresh_bread
burgers,ham,chocolate,pancakes,cereals,
burgers,soup,vegetables_mix,pancakes,body_spray,melons
burgers,grated_cheese,shrimp,pasta,avocado,honey
burgers,herb_e_pepper,shrimp,pasta,spaghetti,mineral_water
