work_year,experience_level,employment_type,job_title,salary,remote_ratio,company_location,company_size
2022,MI,FT,NLP Engineer,5132,100,CZ,M
2021,EN,FT,Power BI Developer,5409,50,IN,L
2021,MI,PT,3D Computer Vision Researcher,5409,50,IN,M
2022,MI,FT,Data Analyst,5723,100,IN,S
2021,EN,FT,Big Data Engineer,5882,0,CH,L
2022,EN,FT,BI Data Analyst,6270,100,BR,L
2022,EN,FT,AI Developer,6304,0,MK,S
2022,EN,FT,Data Analyst,6359,100,IN,L
2023,EN,FT,Autonomous Vehicle Technician,7000,0,GH,S
2022,MI,CT,Analytics Engineer,7500,50,BO,M
2022,EN,FT,Data Analyst,7799,100,BR,L
2022,SE,FT,Product Data Scientist,8000,100,SG,L
2022,EN,FT,BI Data Analyst,8050,100,IN,M
2021,EN,FT,BI Data Analyst,9272,100,KE,S
2022,MI,FT,Business Data Analyst,9289,100,BR,M
2021,MI,FT,Data Scientist,9466,0,IN,S
2023,EN,FT,Data Scientist,9727,0,IN,L
2022,EN,FT,Machine Learning Software Engineer,10000,50,MA,S
2022,SE,FT,3D Computer Vision Researcher,10000,50,AL,S
2022,MI,FT,Data Scientist,10000,0,TR,M
2022,EN,FT,Computer Vision Engineer,10000,100,LU,M
2021,EN,PT,AI Scientist,12000,100,US,M
2021,MI,FL,Machine Learning Scientist,12000,50,PK,M
2021,EN,PT,AI Scientist,12000,100,US,S
2022,EN,FT,Machine Learning Engineer,12000,100,AR,L
2022,EN,PT,BI Analyst,12000,100,US,L
2023,EN,FT,Data Engineer,12000,0,VN,L
2021,MI,FT,Data Engineer,12103,0,TR,M
2021,EN,FT,Machine Learning Research Engineer,12171,100,IN,M
2022,SE,FT,Cloud Data Engineer,12608,100,SK,S
2023,EN,FT,Data Scientist,12767,50,IN,L
2023,EN,FT,Business Data Analyst,12877,50,GR,L
2023,EN,FT,Data Scientist,12888,50,IN,S
2021,MI,FT,Data Scientist,12901,0,BR,S
2022,EN,FT,Data Analytics Engineer,13000,100,AR,S
2021,EN,FT,Data Scientist,13400,100,UA,L
2022,MI,FT,Data Scientist,13989,100,IN,L
2022,MI,FT,Data Analyst,14307,100,IN,L
2021,EN,FT,Machine Learning Developer,15000,100,TH,L
2022,EN,FT,Data Analyst,15000,0,ID,L
2023,SE,FT,Data Analyst,15806,100,IN,S
2022,MI,FT,Computer Vision Engineer,15897,100,IN,M
2023,MI,FT,Product Data Analyst,16414,100,IN,L
2021,MI,FT,Data Analyst,16904,50,IN,L
2021,MI,FT,Data Scientist,16904,100,IN,S
2023,EN,FT,Data Engineer,17022,100,IN,L
2023,MI,FT,Data Scientist,17022,100,IN,L
2023,MI,FT,Data Analytics Lead,17509,50,SG,M
2022,EN,FT,Data Scientist,17684,100,HU,M
2023,EN,PT,Data Analyst,17779,100,IN,L
2022,MI,FT,Business Data Analyst,17805,100,IN,M
2022,EN,FT,Data Scientist,17805,100,IN,M
2021,MI,FT,Big Data Engineer,18000,0,MD,S
2021,EN,FT,AI Scientist,18053,100,AS,S
2023,MI,FT,Lead Data Analyst,18238,50,IN,L
2022,MI,FT,Business Data Analyst,18314,50,IN,L
2021,SE,FT,Computer Vision Engineer,18907,0,BR,M
2021,EN,PT,Computer Vision Software Engineer,19073,50,DK,L
2023,EN,FT,Data Scientist,19522,100,BR,L
2021,MI,FT,Lead Data Analyst,19609,100,IN,L
2021,EN,FT,3D Computer Vision Researcher,20000,0,AS,M
2021,EN,FT,Machine Learning Research Engineer,20000,50,FR,M
2021,EN,FT,Machine Learning Engineer,20000,100,IN,S
2021,MI,FL,Data Engineer,20000,0,US,L
2022,EN,FT,Data Analyst,20000,50,US,M
2022,MI,FT,Data Analyst,20000,100,GR,S
2022,EN,FT,Data Analytics Engineer,20000,0,PK,M
2021,SE,FT,Data Scientist,20171,50,TR,L
2023,MI,FT,Applied Data Scientist,20670,100,IN,L
2022,MI,FT,Machine Learning Engineer,20984,50,IN,L
2022,EN,FT,ML Engineer,21013,100,PT,L
2023,EN,FT,Business Data Analyst,21461,0,ES,M
2021,EN,FT,Data Engineer,21637,50,IN,M
2021,EN,FT,Machine Learning Engineer,21844,50,CO,M
2021,MI,FT,Big Data Engineer,22611,0,IN,L
2022,MI,FT,Machine Learning Scientist,22800,100,EG,M
2022,EN,FT,Data Scientist,22892,50,IN,M
2022,MI,FT,Research Scientist,23000,100,IN,L
2021,SE,FT,Computer Vision Engineer,24000,100,BR,M
2022,MI,FT,Data Engineer,24000,0,US,M
2022,MI,FT,Data Engineer,24000,0,US,M
2022,EN,FT,Data Science Consultant,24165,50,IT,M
2023,MI,FT,Data Scientist,24740,50,TH,L
2021,EN,FT,Machine Learning Engineer,24823,50,DE,M
2021,MI,FT,Machine Learning Engineer,24823,50,SI,L
2022,MI,FT,Data Scientist,25000,50,TR,M
2022,SE,FT,Data Engineer,25000,100,US,M
2022,EN,PT,Data Analyst,25216,100,US,L
2023,MI,CT,ML Engineer,25500,100,US,S
2021,MI,FT,Data Scientist,25532,100,DE,S
2021,MI,FT,Data Engineer,26005,0,US,L
2023,EN,FT,Data Engineer,26827,100,DE,L
2022,EN,FT,Data Science Consultant,27317,50,ES,L
2021,MI,FT,Data Engineer,28016,100,TR,M
2022,EN,FT,Data Analyst,28368,50,FR,M
2021,MI,FT,Data Engineer,28369,50,MT,L
2021,EN,FT,Data Scientist,28399,100,IN,M
2021,MI,FT,Data Engineer,28476,100,PL,L
2021,EN,PT,Computer Vision Engineer,28609,50,DK,S
2023,SE,FT,Data Science Consultant,29453,50,TH,M
2021,EN,FT,Data Scientist,29751,50,IN,L
2022,SE,FT,Lead Data Scientist,29944,50,PT,S
2021,MI,FT,AI Scientist,30000,0,GH,S
2022,MI,FT,Data Scientist,30000,100,MX,L
2022,EN,FT,Machine Learning Engineer,30000,100,GB,L
2023,MI,CT,ML Engineer,30000,100,US,S
2023,EN,FT,Compliance Data Analyst,30000,100,NG,L
2023,EN,FT,Data Analyst,30000,50,IN,M
2023,EN,FT,Data Analyst,30000,100,US,S
2021,EN,FT,Data Engineer,30428,100,IN,L
2022,EN,CT,Applied Machine Learning Scientist,30469,100,CZ,M
2022,MI,FL,Applied Machine Learning Scientist,30523,100,IN,S
2022,MI,FT,Data Scientist,30523,100,IN,L
2022,EN,FT,AI Scientist,31520,100,ES,M
2022,EN,FT,Data Scientist,31520,50,ES,M
2022,MI,FT,Data Analyst,31520,100,ES,M
2022,MI,FT,Data Analyst,31520,100,GR,M
2022,MI,FT,Head of Data,31520,100,EE,S
2022,MI,FT,Data Scientist,31795,100,US,M
2022,EN,FT,Machine Learning Developer,33000,100,DE,S
2022,EN,FT,Data Scientist,33246,50,GB,L
2022,MI,FT,Data Scientist,33609,100,PL,L
2021,MI,FT,Data Scientist,33808,0,IN,M
2022,EN,PT,Data Analyst,34320,100,US,S
2022,EN,FT,Machine Learning Scientist,34672,100,DE,S
2022,EN,FT,Machine Learning Engineer,35093,100,GB,L
2022,MI,FT,Data Engineer,35610,50,IN,L
